CID,z,RA,DEC,Delta_clean,Delta_hat_corr,Delta_post
2013fa,0.01429,310.973,12.5144,-0.7118867606614955,-0.02355541557629459,-0.6883313450852009
2000dm,0.01472,274.746,16.2482,-0.5118173508013437,-0.2282444746590363,-0.2835728761423074
PSNJ2043531,0.01449,310.972,12.5085,-0.24667221431326872,0.2616445939867259,-0.5083168082999946
2011df,0.01402,291.89,54.3865,-0.7377892151311466,0.06792385428878622,-0.8057130694199328
2005el,0.01483,77.953,5.1943,-0.5987550851522349,-0.2960430421443059,-0.302712043007929
2005el,0.01483,77.953,5.1943,-0.6324375561488336,0.026958499641155376,-0.6593960557899889
2001cn,0.01509,281.574,-65.7616,-0.6517433083431173,-0.44441450460688214,-0.2073288037362352
2005de,0.01495,270.597,26.0521,-0.3905834701692431,-0.24443592821928228,-0.14614754194996082
SN2017jl,0.01529,14.3829,30.1852,-0.8650831435354817,0.2562445338756228,-1.1213276774111045
ASASSN-16ad,0.01522,24.8836,33.8268,-0.5715671672254807,0.3792344327423589,-0.9508015999678396
ATLAS16cxr,0.01518,272.027,25.4088,-0.24455397880790755,-0.14099758071611634,-0.10355639809179121
iPTF16auf,0.01566,217.788,27.236,-0.5245438916380775,0.22723407462320017,-0.7517779662612776
2008bc,0.01572,144.63,-63.9738,-0.6459737106421318,-0.2783402565955413,-0.36763345404659054
2011im,0.01493,341.105,-0.1672,-0.22657083452051724,-0.2979822771441286,0.07141144262361138
1999ej,0.01534,20.7391,33.4661,-0.27388892674215287,-0.10713840627337012,-0.16675052046878275
1999ej,0.01534,20.7391,33.4661,-0.32813361255109663,-0.3679770258586455,0.03984341330754887
2001en,0.01534,21.3454,34.0251,-0.5824504258931372,-0.11919484726246177,-0.46325557863067546
2001en,0.01534,21.3454,34.0251,-0.6701017990179476,-0.019744997408263507,-0.6503568016096841
2001V,0.01592,179.354,25.2025,-0.8801891957290635,-0.4461654167977477,-0.43402377893131583
2001V,0.01592,179.354,25.2025,-0.8671229920243917,-0.41284260876058526,-0.45428038326380643
2008ec,0.01506,345.819,8.8722,-0.35985441130324447,-0.1844385914344993,-0.17541581986874516
2008ec,0.01506,345.819,8.8722,-0.3947768159675811,-0.2647309110803212,-0.13004590488725987
2008eo,0.01539,10.4668,32.9903,-0.32747108060244123,0.08773447273954393,-0.41520555334198517
2009nq,0.01527,348.821,19.0229,-0.4104327021998935,-0.09811447018583896,-0.3123182320140545
2005al,0.01629,207.501,-30.5762,-0.6029970520665209,-0.10331101994658042,-0.49968603211994045
2013hn,0.01629,207.247,-30.2907,-0.5039614472635807,-0.4935931012454189,-0.010368346018161834
2001bf,0.01556,270.392,26.2506,-0.6860654917617914,-0.12058245651261601,-0.5654830352491754
2001bf,0.01556,270.392,26.2506,-0.7411132714519115,-0.0614662177069013,-0.6796470537450102
ASASSN-15oh,0.01579,337.675,39.2932,-0.1335762163544656,0.41019294411136004,-0.5437691604658257
1994S,0.01619,187.841,29.1344,-0.6355489959597568,-0.34180442941251754,-0.29374456654723924
1999aa,0.01579,126.925,21.4874,-0.5468426355979491,-0.16842215855286835,-0.37842047704508075
1999aa,0.01579,126.925,21.4874,-0.5706012675076801,-0.42633669614776204,-0.1442645713599181
2002cs,0.01538,281.75,45.7055,-0.5961516595731874,-0.1512102588264297,-0.4449414007467577
iPTF14bdn,0.01636,202.687,32.7618,-0.5989144781526656,-0.26688076267751826,-0.3320337154751474
2007ss,0.01619,190.275,50.3913,-0.0676426112457128,0.21730281235369708,-0.2849454235994099
2010kg,0.01595,70.035,7.35,-0.5194122641612574,-0.2641981667752906,-0.2552140973859668
2013fw,0.0157,318.437,13.576,-0.4879247260556661,0.11259662926614311,-0.6005213553218092
2013Q,0.01612,356.783,29.4865,-0.6019754268538748,-0.17488807878721613,-0.4270873480666587
iPTF13dge,0.01581,75.8962,1.5715,-0.35309126433357285,-0.2832995742904622,-0.06979169004311064
2007fs,0.01633,330.418,-21.5082,-0.32942309954471505,0.02195201475073061,-0.35137511429544566
SN2016gfr,0.0163,274.898,23.7862,-0.7356702290849658,0.3667309999841484,-1.1024012290691143
ASASSN-16ip,0.01632,36.8407,-23.9287,-0.4154304635835031,0.22699692954102083,-0.6424273931245239
2007A,0.01646,6.3194,12.8868,-0.15318668351019005,0.32704252100923914,-0.4802292045194292
2007A,0.01646,6.3194,12.8868,-0.0911088551363642,0.3819227392861734,-0.47303159442253756
PSNJ0107203,0.01601,16.8346,32.3997,-0.5783878547075556,0.518779228613414,-1.0971670833209695
1998ef,0.0161,15.862,32.2368,-0.7443810470206753,-0.0004635124456333628,-0.743917534575042
1998ef,0.0161,15.862,32.2368,-0.6924728114261025,-0.24610292171071735,-0.44636988971538516
ASASSN-15ti,0.01671,46.2858,37.9,-0.07652991808704906,0.4866538278247046,-0.5631837459117537
ASASSN-15od,0.01678,35.8049,-4.5172,-0.2615390413132957,0.34895314244442643,-0.6104921837577222
1996bv,0.01673,94.0542,57.0525,-0.5451575499851659,-0.22949421254650906,-0.3156633374386568
1997Y,0.01661,191.381,54.7381,-0.3793126569012008,-0.39705729535463563,0.017744638453434824
2001da,0.01658,358.387,8.1174,-0.533853341163059,-0.06703517758423788,-0.46681816357882117
2001da,0.01658,358.387,8.1174,-0.3750295107186927,0.0814957934912317,-0.45652530420992443
ASASSN-15kx,0.01697,334.049,37.4738,0.021395545601207516,0.4969431521750061,-0.4755476065737986
2000dk,0.01649,16.848,32.4064,-0.38519263316838515,0.0143784359535154,-0.39957106912190055
2000dk,0.01649,16.848,32.4064,-0.381011122573512,-0.258520041356345,-0.12249108121716701
2007fb,0.0168,359.218,5.5088,-0.15861684296895415,0.0977526138602236,-0.2563694568291778
2007fb,0.0168,359.218,5.5088,-0.07156153021476855,0.27145162302070874,-0.3430131532354773
2006ef,0.01694,31.0813,-8.7284,-0.20857917546032456,-0.22035942739637615,0.011780251936051589
2008C,0.01709,104.298,20.4371,-0.2637131979147147,0.19544237128021635,-0.45915556919493106
2008C,0.01709,104.298,20.4371,-0.30497857729642325,0.2555047304680131,-0.5604833077644363
2004fz,0.01646,30.2767,31.8789,-0.7927520658054804,0.009020485176272963,-0.8017725509817534
2006ax,0.01774,171.014,-12.2914,-0.3626264197451159,0.06536040165668233,-0.4279868214017982
2006ax,0.01774,171.014,-12.2914,-0.377024362892809,0.0673461538692233,-0.4443705167620323
1998V,0.01718,275.656,15.7021,-0.4758694324514915,-0.3391710120163015,-0.13669842043518998
2013gs,0.01748,142.787,46.3848,-0.3961753020167562,-0.22608791756868224,-0.17008738444807397
2008L,0.01734,49.3194,41.3827,-0.2560156239592244,-0.02318451359241147,-0.23283111036681292
2008L,0.01734,49.3194,41.3827,-0.3566390533505591,0.29977695364557455,-0.6564160069961337
2009le,0.01739,32.3214,-23.4124,-0.3720952912506186,0.1266603041811759,-0.4987555954317945
2009le,0.01739,32.3214,-23.4124,-0.3951668934712286,-0.21438042922275724,-0.18078646424847133
2000dr,0.01765,15.4335,-15.5692,-0.1946877017892816,-0.2150637159595738,0.020376014170292195
2007as,0.01791,141.9,-80.1776,-0.3271226288882669,-0.329020811274918,0.001898182386651126
1992bo,0.01805,20.4925,-34.212,0.04011354372779444,-0.15193067510101335,0.1920442188288078
2010ai,0.01918,194.85,27.9964,0.3588821375363007,-0.09651290987816474,0.45539504741446546
ASASSN-17co,0.01791,272.336,18.2983,-0.3873523694861223,0.45178801829645066,-0.8391403877825729
PS15coh,0.01796,33.9935,12.2372,-0.2869502111356118,0.4532362098458364,-0.7401864209814482
2009gf,0.01925,213.905,14.2802,-0.02093003730302878,0.2630530646487837,-0.2839831019518125
2009gf,0.01925,213.905,14.2802,0.05424637208545455,-0.21053029136407958,0.2647766634495341
2016ffh,0.01851,227.956,46.251,0.005498847026701552,0.22620706961502268,-0.22070822258832112
ATLAS16cpu,0.01851,227.956,46.251,-0.026499328208486134,0.45023514164276396,-0.4767344698512501
2000cu,0.01902,291.087,-25.9846,0.032243287186386166,-0.22362167679962902,0.2558649639860152
2011fs,0.01822,334.331,35.5806,-0.17591594297498286,0.3252240791697606,-0.5011400221447435
2011fs,0.01822,334.331,35.5806,-0.20190713604471375,0.02218319502530669,-0.22409033107002044
ASASSN-16cs,0.01839,102.653,31.1124,-0.23128264370202603,0.43456488834310253,-0.6658475320451286
2006kf,0.01955,55.4603,8.1569,0.18156414709177626,0.256797757867335,-0.07523361077555873
2006kf,0.01955,55.4603,8.1569,0.22694775529214467,0.2528696090199446,-0.025921853727799926
2008hs,0.01835,36.3734,41.8431,0.2381717282959192,0.14408930846867096,0.09408241982724824
2008hs,0.01835,36.3734,41.8431,0.2076397085625558,0.63093287361108,-0.42329316504852416
2007au,0.01992,107.942,49.8537,0.17063829602902714,0.032795447252949694,0.13784284877607744
2016W,0.01855,37.6655,42.236,-0.20788085739778742,0.5499194636859202,-0.7578003210837075
2002kf,0.01948,99.3138,49.8528,0.04224071266131465,0.11169154930883565,-0.069450836647521
1992bc,0.01976,46.3169,-39.5596,-0.248800751893379,-0.07489352590882709,-0.1739072259845519
2009ds,0.02033,177.267,-9.7291,-0.22468779515043624,0.198668821053468,-0.42335661620390425
2009ds,0.02033,177.267,-9.7291,-0.02648340580863226,0.24446409622503565,-0.2709475020336679
2006ej,0.01926,9.749,-9.0157,-0.00016079079551174769,-0.08591692540359686,0.08575613460808511
2006ej,0.01926,9.749,-9.0157,-0.08830953864368699,-0.14532869679370689,0.0570191581500199
2006ej,0.01926,9.749,-9.0157,-0.029850040320476,0.24027646028336952,-0.2701265006038455
2006ej,0.01926,9.749,-9.0157,0.024862483127166227,0.23197825099750968,-0.20711576787034347
2002jy,0.0187,20.3178,40.4987,0.2801799469934452,0.19525387760707758,0.0849260693863676
2016hpw,0.02019,317.283,-18.1039,0.1068813657238097,-0.13915326755544305,0.24603463327925273
ATLAS16dqf,0.02019,317.283,-18.1039,-0.11476551163175014,0.3849376648645773,-0.49970317649632745
2005ki,0.02066,160.118,9.2023,-0.07152785856364081,0.23839400094355556,-0.30992185950719636
2005ki,0.02066,160.118,9.2023,-0.08556261719802552,0.2312530506131944,-0.31681566781121995
2005ki,0.02066,160.118,9.2023,-0.15498692070968134,0.18998546245429648,-0.3449723831639778
ASASSN-15lg,0.02121,198.887,3.5007,-0.008366473983634229,0.4410137891910037,-0.4493802631746379
2001dl,0.01983,320.257,9.1807,0.49092103490033634,-0.023437668562360736,0.5143587034626971
PSNJ1602512,0.02039,240.714,47.2248,-0.12102826400351002,0.5113252969287244,-0.6323535609322344
